"","OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species","BBE","BBW","BRE","BRW","CBE","CBW","EUE","EUW","FRE","FRW","IJE","IJW","LOE","LOW","MAE","MAW","MME","MMW","POE","POW","RME","RMW","SCE","SCW","TXE","TXW","VIE","VIW"
"269","OTU_00003","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.86,2.32,12.59,2.64,6.9,6.78,33.09,2.5,1.32,0.78,12.63,1.88,31.59,2.11,33.05,2.54,11.89,1.41,58.11,1.28,31.67,15.15,0.66,1.71,40.87,3.85,59.62,1.72
"459","OTU_00006","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acI",NA,NA,0,20.14,0.11,23.97,0.05,9.7,0.11,25.35,0.19,23.64,0.09,34.12,0.08,30.01,0.18,20.6,0,33.27,0.06,45.32,0.01,26.55,0,15.33,0.01,28.09,0,0
"525","OTU_00008","Bacteria","Bacteroidetes","Saprospirae","Saprospirales","Saprospiraceae",NA,NA,0,0.01,1.83,0,0,0.02,43.73,0,0.12,0,6.2,0,0.03,0,0.03,0,7.52,0,0.22,0,0.04,0,4.07,0,2.89,0,0.09,0.01
"547","OTU_00009","Bacteria","Proteobacteria","unclassified","unclassified","unclassified",NA,NA,0,0,0.14,0.3,0,0.1,0.01,0.14,0.02,0.14,1.22,0.1,26.41,0.28,16.19,0.22,20.19,0.09,0.99,0.01,24.25,0.1,1.28,0.37,0,0.04,0,0.01
"1","OTU_00010","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae",NA,NA,0.12,0,0,0.23,5.9,1.29,0.05,4.33,70.13,14.95,6.66,4.83,1.28,0.12,0.24,2.79,2.66,4.36,0.04,0.01,0.24,0.15,1.28,2.34,0.04,1.11,0.07,0
"114","OTU_00016","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,0.21,0.26,0.13,0.02,1.13,3.41,0.17,0.85,1.01,0,0.9,0.02,0.03,0.04,0.43,0.59,0.67,0.17,4.83,0.08,1.64,0.01,21.61,0.61,0.16,0.12,22.31,11.36
"169","OTU_00020","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae",NA,NA,8.53,0,4.02,0,0,0,0.03,0.02,0.09,0,0.38,0.03,0.07,0.02,0.93,0.01,0.23,0.04,2.82,0,3.21,0,0.19,0.12,0.02,0.01,0,0
"174","OTU_00021","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae",NA,NA,0.01,4.5,0.11,0.5,0.3,0.97,0.04,0.38,0.02,0.33,0,0.16,0,0.2,0.1,0.82,0.01,0.12,0.01,0.14,0,2.04,0.03,0.21,0,0.01,0.03,47.14
"193","OTU_00022","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae",NA,NA,0,0,2.93,0.05,0.21,0.01,0,0.05,0,0.04,0.05,0.02,0.13,0.03,5.4,0.09,0.13,0.06,0,0.01,0.07,0,0.25,0.07,0,0.02,0.03,0
"215","OTU_00024","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","betIV",NA,NA,0,0.02,0,2.35,0,0.64,0,2.89,0,3.23,0,3.06,0.24,8.82,0,1.2,0,3.48,0,0.14,0,2.24,0,0.3,0.03,1.66,0,0
"222","OTU_00025","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae",NA,NA,60.14,0,0.03,0.01,0.23,0.09,0,0.1,0,0.01,0.01,0.01,0,0.04,0,0.06,0,0.01,0.05,0,0.01,0,0,0.06,0.01,0.07,0.14,0.06
"240","OTU_00028","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae",NA,NA,0.85,0.38,5.54,0.01,1.16,5.09,2.5,0.1,0.41,0.01,4.42,0.07,0.37,0,2.22,0.34,13.76,0.03,0.16,0.29,2.28,3.15,11.8,5.01,28.5,0.14,11.66,20.08
"251","OTU_00029","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","alfV",NA,NA,0,0,0,0.81,0,0.12,0,1.67,0,5.7,0,4.57,0,3.11,0,0.24,0,5.65,0,0.03,0,0.16,0,0.18,0,2.19,0,0
"270","OTU_00030","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae",NA,NA,0.06,0,0,0.02,17.43,0.73,0.01,0.1,3.4,0.61,16.03,1.67,0.95,0,0.12,0.01,1.32,0.38,0.79,0,0.05,0.02,29.87,0.71,0,0,0.04,0.01
"282","OTU_00031","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","acTH1",NA,NA,0,0.31,0,0.77,0,0.37,0,0.54,0,5.61,0,6.3,0,0.84,0.09,1.27,0,8.38,0,0.58,0,0.63,0,0.53,0,1.66,0,0
"299","OTU_00033","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae",NA,NA,0,0.01,0.09,0,0.02,0.01,7.52,0.02,0.04,0,0.01,0.02,0.31,0,0.03,0.01,0.03,0,0.18,0,0,0,0.02,0,5.87,0.01,0,0
"310","OTU_00034","Bacteria","Bacteroidetes","Sphingobacteria","Sphingobacteriales","bacIII",NA,NA,0,0.2,0,3.23,0,1.12,0,0.34,0,2.11,0,2.7,0,1.19,0.03,13.32,0,0.96,0,0.34,0.02,0.63,0.03,0.64,0,2.99,0,0
